id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
SE;SUDESTE/CENTRO-OESTE;2026-01-04 09:00:00;36975.86699999999
N;NORTE;2026-01-04 10:00:00;7276.027000000002
NE;NORDESTE;2026-01-04 10:00:00;10850.318
S;SUL;2026-01-04 10:00:00;9677.351000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-04 10:00:00;37214.518
N;NORTE;2026-01-04 11:00:00;7276.064
NE;NORDESTE;2026-01-04 11:00:00;10839.872999999996
S;SUL;2026-01-04 11:00:00;10438.444999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-04 11:00:00;38084.637
N;NORTE;2026-01-04 12:00:00;7204.877
NE;NORDESTE;2026-01-04 12:00:00;10706.653000000004
S;SUL;2026-01-04 12:00:00;10244.791
SE;SUDESTE/CENTRO-OESTE;2026-01-04 12:00:00;39070.34300000001
N;NORTE;2026-01-04 13:00:00;7245.005000000001
NE;NORDESTE;2026-01-04 13:00:00;10775.725999999995
S;SUL;2026-01-04 13:00:00;9678.915
SE;SUDESTE/CENTRO-OESTE;2026-01-04 13:00:00;38888.24399999999
N;NORTE;2026-01-04 14:00:00;7333.42
NE;NORDESTE;2026-01-04 14:00:00;11056.446
S;SUL;2026-01-04 14:00:00;9202.966
SE;SUDESTE/CENTRO-OESTE;2026-01-04 14:00:00;38409.321
N;NORTE;2026-01-04 15:00:00;7491.010999999999
NE;NORDESTE;2026-01-04 15:00:00;11427.451
S;SUL;2026-01-04 15:00:00;8953.600999999999
SE;SUDESTE/CENTRO-OESTE;2026-01-04 15:00:00;38790.837
N;NORTE;2026-01-04 16:00:00;7686.605999999999
NE;NORDESTE;2026-01-04 16:00:00;11581.547000000002
S;SUL;2026-01-04 16:00:00;9575.711
SE;SUDESTE/CENTRO-OESTE;2026-01-04 16:00:00;39642.08400000001
N;NORTE;2026-01-04 17:00:00;7690.161999999998
NE;NORDESTE;2026-01-04 17:00:00;12398.893
S;SUL;2026-01-04 17:00:00;10900.327
SE;SUDESTE/CENTRO-OESTE;2026-01-04 17:00:00;41513.424
N;NORTE;2026-01-04 18:00:00;8060.768999999998
NE;NORDESTE;2026-01-04 18:00:00;14002.940999999995
S;SUL;2026-01-04 18:00:00;12011.222999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-04 18:00:00;43655.45999999999
N;NORTE;2026-01-04 19:00:00;8460.738999999998
NE;NORDESTE;2026-01-04 19:00:00;14308.896
S;SUL;2026-01-04 19:00:00;12907.427
SE;SUDESTE/CENTRO-OESTE;2026-01-04 19:00:00;46088.319
N;NORTE;2026-01-04 20:00:00;8620.503999999997
NE;NORDESTE;2026-01-04 20:00:00;14359.783
S;SUL;2026-01-04 20:00:00;13600.499999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-04 20:00:00;46089.869
N;NORTE;2026-01-04 21:00:00;8772.666
NE;NORDESTE;2026-01-04 21:00:00;14723.58
S;SUL;2026-01-04 21:00:00;13134.191
SE;SUDESTE/CENTRO-OESTE;2026-01-04 21:00:00;45193.169
N;NORTE;2026-01-04 22:00:00;8924.184
NE;NORDESTE;2026-01-04 22:00:00;15013.584
S;SUL;2026-01-04 22:00:00;12499.642000000003
SE;SUDESTE/CENTRO-OESTE;2026-01-04 22:00:00;43596.039
N;NORTE;2026-01-04 23:00:00;8844.024999999998
NE;NORDESTE;2026-01-04 23:00:00;14963.575
S;SUL;2026-01-04 23:00:00;11588.540999999994
SE;SUDESTE/CENTRO-OESTE;2026-01-04 23:00:00;41535.10400000001
N;NORTE;2026-01-05 00:00:00;8677.933
NE;NORDESTE;2026-01-05 00:00:00;14585.318
S;SUL;2026-01-05 00:00:00;10927.118
SE;SUDESTE/CENTRO-OESTE;2026-01-05 00:00:00;39354.94099999999
N;NORTE;2026-01-05 01:00:00;8525.503
NE;NORDESTE;2026-01-05 01:00:00;14283.185
S;SUL;2026-01-05 01:00:00;10337.571
SE;SUDESTE/CENTRO-OESTE;2026-01-05 01:00:00;37834.58899999999
N;NORTE;2026-01-05 02:00:00;8314.029999999999
NE;NORDESTE;2026-01-05 02:00:00;14054.250000000002
S;SUL;2026-01-05 02:00:00;10067.412
SE;SUDESTE/CENTRO-OESTE;2026-01-05 02:00:00;36766.444
N;NORTE;2026-01-05 03:00:00;8175.943999999999
NE;NORDESTE;2026-01-05 03:00:00;13894.933
S;SUL;2026-01-05 03:00:00;9926.39
SE;SUDESTE/CENTRO-OESTE;2026-01-05 03:00:00;36212.74599999999
N;NORTE;2026-01-05 04:00:00;7968.047
NE;NORDESTE;2026-01-05 04:00:00;13743.309
S;SUL;2026-01-05 04:00:00;9985.418
SE;SUDESTE/CENTRO-OESTE;2026-01-05 04:00:00;36153.579
N;NORTE;2026-01-05 05:00:00;7951.106
NE;NORDESTE;2026-01-05 05:00:00;13165.697
S;SUL;2026-01-05 05:00:00;10367.364999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-05 05:00:00;36930.024000000005
N;NORTE;2026-01-05 06:00:00;7675.439999999999
NE;NORDESTE;2026-01-05 06:00:00;12661.376000000002
S;SUL;2026-01-05 06:00:00;11402.073000000004
SE;SUDESTE/CENTRO-OESTE;2026-01-05 06:00:00;38503.72699999999
N;NORTE;2026-01-05 07:00:00;7700.095
NE;NORDESTE;2026-01-05 07:00:00;12477.890000000005
S;SUL;2026-01-05 07:00:00;12239.577
SE;SUDESTE/CENTRO-OESTE;2026-01-05 07:00:00;40878.55599999999
N;NORTE;2026-01-05 08:00:00;8044.231
NE;NORDESTE;2026-01-05 08:00:00;12736.990000000003
S;SUL;2026-01-05 08:00:00;12599.953
SE;SUDESTE/CENTRO-OESTE;2026-01-05 08:00:00;42849.721000000005
N;NORTE;2026-01-05 09:00:00;8201.792
NE;NORDESTE;2026-01-05 09:00:00;13042.865999999998
S;SUL;2026-01-05 09:00:00;12696.615000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-05 09:00:00;43492.481
N;NORTE;2026-01-05 10:00:00;8283.050000000001
NE;NORDESTE;2026-01-05 10:00:00;13490.839
S;SUL;2026-01-05 10:00:00;13021.468
SE;SUDESTE/CENTRO-OESTE;2026-01-05 10:00:00;44148.847
